document,driver_id,vehicle_id,policy_id,underwriting_decision,risk_class,reason_for_decline,content
motor_insurance_hk_data_non_pii_114423oct2024.csv,81043220,44470499,7295152581,Pending,High Risk,,"Driver ID: 81043220, Age: 20, Gender: Male, Driving Experience: 4 years, Occupation: Professional, Vehicle: McLaren X5, Year: 2015, Value: 966158.36 HKD, Engine Size: 1500cc, Registration City: Kowloon, Policy ID: 7295152581, Coverage: Third Party, Premium: 13250.37 HKD, Policy Term: 1 year(s), Excess: 3552.41 HKD, Effective Date: 2024-03-03, Expiry Date: 2025-04-10, Renewal Status: Non-renewal, Driving Record: Clean, Claims History: 1, Traffic Violations: 1, Vehicle Usage: Private, Credit Score: 628, Underwriting Decision: Pending, Risk Class: High Risk, Reason for Decline: None"
motor_insurance_hk_data_non_pii_114423oct2024.csv,38430726,85347174,7495839552,Approved,Low Risk,,"Driver ID: 38430726, Age: 20, Gender: Male, Driving Experience: 16 years, Occupation: Teacher, Vehicle: Bentley Daytona SP3, Year: 2015, Value: 905271.13 HKD, Engine Size: 1000cc, Registration City: Kowloon, Policy ID: 7495839552, Coverage: Comprehensive, Premium: 8896.11 HKD, Policy Term: 1 year(s), Excess: 2056.67 HKD, Effective Date: 2024-08-31, Expiry Date: 2025-03-20, Renewal Status: Auto-renew, Driving Record: Multiple Accidents, Claims History: 3, Traffic Violations: 1, Vehicle Usage: Commercial, Credit Score: 722, Underwriting Decision: Approved, Risk Class: Low Risk, Reason for Decline: None"
motor_insurance_hk_data_non_pii_114423oct2024.csv,95941257,94078724,1125745011,Declined,High Risk,High vehicle value,"Driver ID: 95941257, Age: 59, Gender: Female, Driving Experience: 24 years, Occupation: Driver, Vehicle: Audi Speedtail, Year: 2017, Value: 215947.04 HKD, Engine Size: 1500cc, Registration City: New Territories, Policy ID: 1125745011, Coverage: Comprehensive, Premium: 5615.56 HKD, Policy Term: 1 year(s), Excess: 2858.54 HKD, Effective Date: 2024-06-16, Expiry Date: 2024-08-25, Renewal Status: Auto-renew, Driving Record: Multiple Accidents, Claims History: 2, Traffic Violations: 0, Vehicle Usage: Private, Credit Score: 330, Underwriting Decision: Declined, Risk Class: High Risk, Reason for Decline: High vehicle value"
motor_insurance_hk_data_non_pii_114423oct2024.csv,37982188,16933533,9377901969,Declined,Low Risk,Poor driving record,"Driver ID: 37982188, Age: 59, Gender: Female, Driving Experience: 14 years, Occupation: Teacher, Vehicle: Honda Civic, Year: 2007, Value: 679515.23 HKD, Engine Size: 1500cc, Registration City: Hong Kong, Policy ID: 9377901969, Coverage: Third Party, Premium: 10378.37 HKD, Policy Term: 1 year(s), Excess: 1711.89 HKD, Effective Date: 2024-09-15, Expiry Date: 2025-02-27, Renewal Status: Non-renewal, Driving Record: 1 Accident, Claims History: 1, Traffic Violations: 3, Vehicle Usage: Commercial, Credit Score: 798, Underwriting Decision: Declined, Risk Class: Low Risk, Reason for Decline: Poor driving record"
motor_insurance_hk_data_non_pii_114423oct2024.csv,59103327,10383184,2395931819,Pending,Low Risk,,"Driver ID: 59103327, Age: 42, Gender: Female, Driving Experience: 29 years, Occupation: Clerical, Vehicle: Ferrari Mulliner Batur, Year: 2009, Value: 929325.66 HKD, Engine Size: 3000cc, Registration City: Kowloon, Policy ID: 2395931819, Coverage: Comprehensive, Premium: 9825.12 HKD, Policy Term: 1 year(s), Excess: 2707.0 HKD, Effective Date: 2024-07-18, Expiry Date: 2025-07-23, Renewal Status: Non-renewal, Driving Record: Clean, Claims History: 0, Traffic Violations: 0, Vehicle Usage: Private, Credit Score: 335, Underwriting Decision: Pending, Risk Class: Low Risk, Reason for Decline: None"
motor_insurance_hk_data_non_pii_114423oct2024.csv,85336242,27379730,2314880416,Declined,Low Risk,Poor driving record,"Driver ID: 85336242, Age: 42, Gender: Other, Driving Experience: 3 years, Occupation: Teacher, Vehicle: Honda Daytona SP3, Year: 2023, Value: 382328.12 HKD, Engine Size: 2000cc, Registration City: New Territories, Policy ID: 2314880416, Coverage: Third Party, Premium: 12963.12 HKD, Policy Term: 1 year(s), Excess: 1210.38 HKD, Effective Date: 2024-06-06, Expiry Date: 2025-10-12, Renewal Status: Non-renewal, Driving Record: 1 Accident, Claims History: 5, Traffic Violations: 0, Vehicle Usage: Commercial, Credit Score: 405, Underwriting Decision: Declined, Risk Class: Low Risk, Reason for Decline: Poor driving record"
motor_insurance_hk_data_non_pii_114423oct2024.csv,36949698,60233523,1722557239,Declined,Low Risk,High vehicle value,"Driver ID: 36949698, Age: 41, Gender: Male, Driving Experience: 10 years, Occupation: Driver, Vehicle: Toyota Mulliner Batur, Year: 2015, Value: 762382.98 HKD, Engine Size: 1500cc, Registration City: Hong Kong, Policy ID: 1722557239, Coverage: Third Party, Premium: 7130.68 HKD, Policy Term: 1 year(s), Excess: 4314.97 HKD, Effective Date: 2024-10-02, Expiry Date: 2025-05-25, Renewal Status: Auto-renew, Driving Record: 1 Accident, Claims History: 0, Traffic Violations: 3, Vehicle Usage: Commercial, Credit Score: 750, Underwriting Decision: Declined, Risk Class: Low Risk, Reason for Decline: High vehicle value"
motor_insurance_hk_data_non_pii_114423oct2024.csv,62762913,59846998,3486816075,Pending,Low Risk,,"Driver ID: 62762913, Age: 22, Gender: Other, Driving Experience: 26 years, Occupation: Clerical, Vehicle: Bentley Daytona SP3, Year: 2020, Value: 492936.74 HKD, Engine Size: 3000cc, Registration City: Hong Kong, Policy ID: 3486816075, Coverage: Comprehensive, Premium: 17671.55 HKD, Policy Term: 1 year(s), Excess: 4304.8 HKD, Effective Date: 2024-05-01, Expiry Date: 2024-12-17, Renewal Status: Non-renewal, Driving Record: Clean, Claims History: 1, Traffic Violations: 2, Vehicle Usage: Commercial, Credit Score: 461, Underwriting Decision: Pending, Risk Class: Low Risk, Reason for Decline: None"
motor_insurance_hk_data_non_pii_114423oct2024.csv,38181170,36919973,5027204652,Declined,High Risk,Low credit score,"Driver ID: 38181170, Age: 21, Gender: Female, Driving Experience: 27 years, Occupation: Driver, Vehicle: BMW Civic, Year: 2016, Value: 122273.17 HKD, Engine Size: 1500cc, Registration City: New Territories, Policy ID: 5027204652, Coverage: Comprehensive, Premium: 17707.53 HKD, Policy Term: 1 year(s), Excess: 1781.15 HKD, Effective Date: 2024-07-08, Expiry Date: 2025-09-17, Renewal Status: Non-renewal, Driving Record: Clean, Claims History: 2, Traffic Violations: 3, Vehicle Usage: Private, Credit Score: 769, Underwriting Decision: Declined, Risk Class: High Risk, Reason for Decline: Low credit score"
motor_insurance_hk_data_non_pii_114423oct2024.csv,26615970,57368529,5427692934,Pending,Low Risk,,"Driver ID: 26615970, Age: 29, Gender: Other, Driving Experience: 4 years, Occupation: Clerical, Vehicle: Audi Civic, Year: 2017, Value: 544273.95 HKD, Engine Size: 1500cc, Registration City: New Territories, Policy ID: 5427692934, Coverage: Third Party, Premium: 7698.64 HKD, Policy Term: 1 year(s), Excess: 1334.42 HKD, Effective Date: 2024-02-09, Expiry Date: 2024-09-18, Renewal Status: Auto-renew, Driving Record: Clean, Claims History: 0, Traffic Violations: 3, Vehicle Usage: Private, Credit Score: 515, Underwriting Decision: Pending, Risk Class: Low Risk, Reason for Decline: None"
motor_insurance_hk_data_non_pii_114423oct2024.csv,64787520,73468877,5979935460,Approved,Low Risk,,"Driver ID: 64787520, Age: 45, Gender: Female, Driving Experience: 20 years, Occupation: Professional, Vehicle: Honda X5, Year: 2020, Value: 392792.7 HKD, Engine Size: 1000cc, Registration City: Hong Kong, Policy ID: 5979935460, Coverage: Third Party, Premium: 5166.33 HKD, Policy Term: 1 year(s), Excess: 3970.06 HKD, Effective Date: 2024-04-14, Expiry Date: 2025-04-19, Renewal Status: Auto-renew, Driving Record: Clean, Claims History: 1, Traffic Violations: 3, Vehicle Usage: Commercial, Credit Score: 635, Underwriting Decision: Approved, Risk Class: Low Risk, Reason for Decline: None"
motor_insurance_hk_data_non_pii_114423oct2024.csv,92864648,37966580,6815933505,Declined,Medium Risk,Multiple accidents,"Driver ID: 92864648, Age: 31, Gender: Other, Driving Experience: 21 years, Occupation: Clerical, Vehicle: McLaren Civic, Year: 2012, Value: 985528.72 HKD, Engine Size: 2500cc, Registration City: New Territories, Policy ID: 6815933505, Coverage: Comprehensive, Premium: 7495.5 HKD, Policy Term: 1 year(s), Excess: 2339.68 HKD, Effective Date: 2024-02-04, Expiry Date: 2024-07-29, Renewal Status: Auto-renew, Driving Record: Clean, Claims History: 4, Traffic Violations: 1, Vehicle Usage: Commercial, Credit Score: 739, Underwriting Decision: Declined, Risk Class: Medium Risk, Reason for Decline: Multiple accidents"
motor_insurance_hk_data_non_pii_114423oct2024.csv,61546733,83802577,2267987301,Declined,High Risk,Low credit score,"Driver ID: 61546733, Age: 55, Gender: Male, Driving Experience: 28 years, Occupation: Teacher, Vehicle: BMW Corolla, Year: 2008, Value: 287499.18 HKD, Engine Size: 2000cc, Registration City: Hong Kong, Policy ID: 2267987301, Coverage: Comprehensive, Premium: 15504.39 HKD, Policy Term: 1 year(s), Excess: 2087.18 HKD, Effective Date: 2024-09-25, Expiry Date: 2025-04-10, Renewal Status: Auto-renew, Driving Record: Multiple Accidents, Claims History: 5, Traffic Violations: 2, Vehicle Usage: Commercial, Credit Score: 806, Underwriting Decision: Declined, Risk Class: High Risk, Reason for Decline: Low credit score"
motor_insurance_hk_data_non_pii_114423oct2024.csv,17896857,34936686,9051832595,Pending,Medium Risk,,"Driver ID: 17896857, Age: 23, Gender: Female, Driving Experience: 21 years, Occupation: Driver, Vehicle: Bentley Mulliner Batur, Year: 2022, Value: 149862.0 HKD, Engine Size: 2500cc, Registration City: Kowloon, Policy ID: 9051832595, Coverage: Comprehensive, Premium: 19842.61 HKD, Policy Term: 1 year(s), Excess: 2951.93 HKD, Effective Date: 2024-01-11, Expiry Date: 2024-04-01, Renewal Status: Non-renewal, Driving Record: Clean, Claims History: 4, Traffic Violations: 0, Vehicle Usage: Private, Credit Score: 792, Underwriting Decision: Pending, Risk Class: Medium Risk, Reason for Decline: None"
motor_insurance_hk_data_non_pii_114423oct2024.csv,16430040,52036989,6692640035,Approved,Medium Risk,,"Driver ID: 16430040, Age: 42, Gender: Male, Driving Experience: 10 years, Occupation: Clerical, Vehicle: Bentley Mulliner Batur, Year: 2015, Value: 940556.15 HKD, Engine Size: 2000cc, Registration City: Kowloon, Policy ID: 6692640035, Coverage: Third Party, Premium: 18363.27 HKD, Policy Term: 1 year(s), Excess: 4489.34 HKD, Effective Date: 2024-10-22, Expiry Date: 2025-02-14, Renewal Status: Non-renewal, Driving Record: Multiple Accidents, Claims History: 3, Traffic Violations: 2, Vehicle Usage: Private, Credit Score: 367, Underwriting Decision: Approved, Risk Class: Medium Risk, Reason for Decline: None"
